time,date,place,agenda_pdf_url
3:00 PM,2026-01-05,"Council Chambers, County/City Building, 555 South 10th Street, Lincoln 68508",https://lnklan.granicus.com/AgendaViewer.php?view_id=2&clip_id=397
3:00 PM,2026-01-12,"Council Chambers, County/City Building, 555 South 10th Street, Lincoln 68508",https://lnklan.granicus.com/AgendaViewer.php?view_id=2&clip_id=398
5:30 PM,2026-01-26,"Council Chambers, County/City Building, 555 South 10th Street, Lincoln 68508",https://lnklan.granicus.com/AgendaViewer.php?view_id=2&clip_id=399
3:00 PM,2026-02-02,"Council Chambers, County/City Building, 555 South 10th Street, Lincoln 68508",https://lnklan.granicus.com/AgendaViewer.php?view_id=2&clip_id=400
3:00 PM,2026-02-09,"Council Chambers, County/City Building, 555 South 10th Street, Lincoln 68508",https://lnklan.granicus.com/AgendaViewer.php?view_id=2&clip_id=401
5:30 PM,2026-02-23,"Council Chambers, County/City Building, 555 South 10th Street, Lincoln 68508",https://lnklan.granicus.com/AgendaViewer.php?view_id=2&clip_id=402
3:00 PM,2026-03-02,"Council Chambers, County/City Building, 555 South 10th Street, Lincoln 68508",https://lnklan.granicus.com/AgendaViewer.php?view_id=2&clip_id=403
3:00 PM,2026-03-09,"Council Chambers, County/City Building, 555 South 10th Street, Lincoln 68508",https://lnklan.granicus.com/AgendaViewer.php?view_id=2&clip_id=404
3:00 PM,2026-03-16,"Council Chambers, County/City Building, 555 South 10th Street, Lincoln 68508",https://lnklan.granicus.com/AgendaViewer.php?view_id=2&clip_id=405
3:00 PM,2026-03-23,"Council Chambers, County/City Building, 555 South 10th Street, Lincoln 68508",https://lnklan.granicus.com/AgendaViewer.php?view_id=2&clip_id=406
5:30 PM,2026-03-30,"Council Chambers, County/City Building, 555 South 10th Street, Lincoln 68508",https://lnklan.granicus.com/AgendaViewer.php?view_id=2&clip_id=407
3:00 PM,2026-04-06,"Council Chambers, County/City Building, 555 South 10th Street, Lincoln 68508",https://lnklan.granicus.com/AgendaViewer.php?view_id=2&clip_id=408
3:00 PM,2026-04-13,"Council Chambers, County/City Building, 555 South 10th Street, Lincoln 68508",https://lnklan.granicus.com/AgendaViewer.php?view_id=2&clip_id=409
3:00 PM,2026-04-20,"Council Chambers, County/City Building, 555 South 10th Street, Lincoln 68508",https://lnklan.granicus.com/AgendaViewer.php?view_id=2&clip_id=410
5:30 PM,2026-04-27,"Council Chambers, County/City Building, 555 South 10th Street, Lincoln 68508",https://lnklan.granicus.com/AgendaViewer.php?view_id=2&clip_id=411
3:00 PM,2026-05-04,"Council Chambers, County/City Building, 555 South 10th Street, Lincoln 68508",https://lnklan.granicus.com/AgendaViewer.php?view_id=2&clip_id=412
3:00 PM,2026-05-11,"Council Chambers, County/City Building, 555 South 10th Street, Lincoln 68508",https://lnklan.granicus.com/AgendaViewer.php?view_id=2&clip_id=413
5:30 PM,2026-05-18,"Council Chambers, County/City Building, 555 South 10th Street, Lincoln 68508",https://lnklan.granicus.com/AgendaViewer.php?view_id=2&clip_id=414
